 format: day,hour,forecast,value  location:53_114 Start : 20150101 ,month
 1,200.0,4.0,-5.8,1
 1,200.0,7.0,-6.5,1
 1,500.0,4.0,-5.8,1
 1,500.0,7.0,-6.5,1
 1,800.0,4.0,-6.5,1
 1,800.0,7.0,-7.7,1
 1,1100.0,4.0,-6.7,1
 1,1100.0,7.0,-7.7,1
 1,1400.0,4.0,-6.7,1
 1,1400.0,7.0,-7.7,1
 1,1700.0,4.0,-6.7,1
 1,1700.0,7.0,-7.7,1
 1,2000.0,4.0,-7.1,1
 1,2000.0,7.0,-2.0,1
 1,2300.0,4.0,-7.1,1
 1,2300.0,7.0,-2.0,1
 2,200.0,4.0,-7.1,1
 2,200.0,7.0,-2.2,1
 2,500.0,4.0,-7.1,1
 2,500.0,7.0,-2.2,1
 2,800.0,4.0,-7.2,1
 2,800.0,7.0,-1.9,1
 2,1100.0,4.0,-7.2,1
 2,1100.0,7.0,-1.9,1
 2,1400.0,4.0,-7.3,1
 2,1400.0,7.0,-1.9,1
 2,1700.0,4.0,-7.3,1
 2,1700.0,7.0,-1.9,1
 2,2000.0,4.0,-2.0,1
 2,2000.0,7.0,-0.8,1
 2,2300.0,4.0,-2.0,1
 2,2300.0,7.0,-0.8,1
 3,200.0,4.0,-2.3,1
 3,200.0,7.0,-0.8,1
 3,500.0,4.0,-2.3,1
 3,500.0,7.0,-0.7,1
 3,800.0,4.0,-1.9,1
 3,800.0,7.0,-0.7,1
 3,1100.0,4.0,-1.9,1
 3,1100.0,7.0,-0.7,1
 3,1400.0,4.0,-1.8,1
 3,1400.0,7.0,-0.7,1
 3,1700.0,4.0,-1.8,1
 3,1700.0,7.0,-0.7,1
 3,2000.0,4.0,-0.6,1
 3,2000.0,7.0,-1.8,1
 3,2300.0,4.0,-0.6,1
 3,2300.0,7.0,-1.8,1
 4,200.0,4.0,-0.6,1
 4,200.0,7.0,-1.0,1
 4,500.0,4.0,-0.6,1
 4,500.0,7.0,-1.0,1
 4,800.0,4.0,-0.5,1
 4,800.0,7.0,-0.4,1
 4,1100.0,4.0,-0.3,1
 4,1100.0,7.0,-0.4,1
 4,1400.0,4.0,-0.2,1
 4,1400.0,7.0,-0.4,1
 4,1700.0,4.0,-0.1,1
 4,1700.0,7.0,-0.4,1
 4,2000.0,4.0,-0.4,1
 4,2000.0,7.0,-7.5,1
 4,2300.0,4.0,-0.4,1
 4,2300.0,7.0,-7.5,1
 5,200.0,4.0,-0.4,1
 5,200.0,7.0,-7.5,1
 5,500.0,4.0,-0.4,1
 5,500.0,7.0,-7.5,1
 5,800.0,4.0,0.9,1
 5,800.0,7.0,-6.3,1
 5,1100.0,4.0,0.9,1
 5,1100.0,7.0,-6.3,1
 5,1400.0,4.0,0.9,1
 5,1400.0,7.0,-6.3,1
 5,1700.0,4.0,0.9,1
 5,1700.0,7.0,-6.3,1
 5,2000.0,4.0,-6.6,1
 5,2000.0,7.0,-7.4,1
 5,2300.0,4.0,-6.6,1
 5,2300.0,7.0,-7.4,1
 6,200.0,4.0,-6.6,1
 6,200.0,7.0,-7.4,1
 6,500.0,4.0,-6.6,1
 6,500.0,7.0,-7.4,1
 6,800.0,4.0,-5.6,1
 6,800.0,7.0,-6.6,1
 6,1100.0,4.0,-5.6,1
 6,1100.0,7.0,-6.6,1
 6,1400.0,4.0,-6.6,1
 6,1400.0,7.0,-6.6,1
 6,1700.0,4.0,-6.7,1
 6,1700.0,7.0,-6.5,1
 6,2000.0,4.0,-7.3,1
 6,2000.0,7.0,-4.2,1
 6,2300.0,4.0,-7.3,1
 6,2300.0,7.0,-4.2,1
 7,200.0,4.0,-7.3,1
 7,200.0,7.0,-4.2,1
 7,500.0,4.0,-7.3,1
 7,500.0,7.0,-4.2,1
 7,800.0,4.0,-6.6,1
